abstract,paraphrase_abstract,Score (0-10),Jaccard Score,Cosine Score,Predicted Score
"We present an x-ray spectromicroscopic investigation of single-crystalline magnetic FeMn/Co bilayers on Cu(001), using X-ray magnetic circular (XMCD) and linear (XMLD) dichroism at the Co and Fe L3 absorption edges in combination with photoelectron emission microscopy (PEEM). Using the magnetic coupling between the ferromagnetic Co layer and the antiferromagnetic FeMn layer we are able to produce magnetic domains with two different crystallographic orientations of the magnetic easy axis within the same sample at the same time. We find a huge difference in the XMLD contrast between the two types of magnetic domains, which we discuss in terms of intrinsic magneto-crystalline anisotropy of XMLD of the Co layer. We also demonstrate that due to the high sensitivity of the method, the small number of induced ferromagnetic Fe moments at the FeMn-Co interface is sufficient to obtain magnetic contrast from XMLD in a metallic system.","In this study, we utilize x-ray spectromicroscopy to investigate the properties of single-crystalline magnetic FeMn/Co bilayers grown on Cu(001) substrates. Our approach combines x-ray magnetic circular dichroism (XMCD) and linear dichroism (XMLD) at the Co and Fe L3 absorption edges with photoelectron emission microscopy (PEEM). By leveraging the magnetic interaction between the ferromagnetic Co layer and the antiferromagnetic FeMn layer, we successfully create magnetic domains with differing crystallographic orientations of the magnetic easy axis within the same sample. Notably, we observe a significant variation in XMLD contrast between these two domain types, which we attribute to the inherent magnetocrystalline anisotropy of the Co layer. The results demonstrate the high sensitivity of our technique, as even a minimal number of induced ferromagnetic Fe moments at the FeMn-Co interface yields measurable magnetic contrast via XMLD in a metallic system.",0.0,0.4285714285714286,0.9083171243102894,0.9995021820068359
"In the reaction e+e- -> WW -> (q_1 qbar_2)(q_3 qbar_4) the usual hadronization models treat the colour singlets q_1 qbar_2 and q_3 qbar_4 coming from two W bosons independently. However, since the final state partons may coexist in space and time, cross-talk between the two evolving hadronic systems may be possible during fragmentation through soft gluon exchange. This effect is known as Colour Reconnection. In this article the results of the investigation of Colour Reconnection effects in fully hadronic decays of W pairs in DELPHI at LEP are presented. Two complementary analyses were performed, studying the particle flow between jets and W mass estimators, with negligible correlation between them, and the results were combined and compared to models. In the framework of the SK-I model, the value for its kappa parameter most compatible with the data was found to be: kappa_{SK-I} = 2.2^{+2.5}_{-1.3} corresponding to the probability of reconnection P_{reco} to be in the range 0.31 < P_{reco} < 0.68 at 68% confidence level with its best value at 0.52.","The study investigated the phenomenon of Color Reconnection in fully hadronic decays of W pairs at LEP using the DELPHI detector. Two independent analyses were conducted, one focusing on particle flow between jets and the other utilizing W mass estimators. The results showed that there was a non-negligible probability of cross-talk between the two hadronic systems produced by the decaying W bosons, which is known as Color Reconnection. The analysis yielded an estimate of the kappa parameter in the SK-I model, which characterizes the strength of Color Reconnection, with a best fit value of 2.2±1.3, corresponding to a probability of reconnection between 0.31 and 0.68 at 68% confidence level, with a best estimate of 0.52.",9.0,0.2967741935483871,0.9083171243102894,0.9987454414367676
"We present an algorithm that produces the classification list of smooth Fano d-polytopes for any given d. The input of the algorithm is a single number, namely the positive integer d. The algorithm has been used to classify smooth Fano d-polytopes for d<=7. There are 7622 isomorphism classes of smooth Fano 6-polytopes and 72256 isomorphism classes of smooth Fano 7-polytopes.","Our method yields a classification system for polished Fano d-polytopes, taking in only a single positive integer value, d, as its input. This approach has successfully categorized smooth Fano d-polytopes up to dimension 7, revealing 7622 distinct groups of smooth Fano 6-polytopes and a remarkable 72256 sets of smooth Fano 7-polytopes.",9.0,0.25373134328358204,0.9083171243102894,0.9990916848182678
"Possible (algebraic) commutation relations in the Lagrangian quantum theory of free (scalar, spinor and vector) fields are considered from mathematical view-point. As sources of these relations are employed the Heisenberg equations/relations for the dynamical variables and a specific condition for uniqueness of the operators of the dynamical variables (with respect to some class of Lagrangians). The paracommutation relations or some their generalizations are pointed as the most general ones that entail the validity of all Heisenberg equations. The simultaneous fulfillment of the Heisenberg equations and the uniqueness requirement turn to be impossible. This problem is solved via a redefinition of the dynamical variables, similar to the normal ordering procedure and containing it as a special case. That implies corresponding changes in the admissible commutation relations. The introduction of the concept of the vacuum makes narrow the class of the possible commutation relations; in particular, the mentioned redefinition of the dynamical variables is reduced to normal ordering. As a last restriction on that class is imposed the requirement for existing of an effective procedure for calculating vacuum mean values. The standard bilinear commutation relations are pointed as the only known ones that satisfy all of the mentioned conditions and do not contradict to the existing data.","In the context of Lagrangian quantum theory, this study examines the potential algebraic commutation relationships between scalar, spinor, and vector fields from a mathematical perspective. To determine these relations, we utilize the Heisenberg equations and a specific uniqueness condition for the operators of the dynamic variables. We find that the paracommutation relations, or certain generalizations thereof, are the most comprehensive options that ensure the validity of all Heisenberg equations. However, we encounter an issue where satisfying both the Heisenberg equations and the uniqueness requirement simultaneously becomes impossible. To address this challenge, we introduce a redefinition of the dynamic variables, analogous to the normal ordering procedure, which includes the latter as a special case. This modification leads to adjustments in the allowable commutation relations. When considering the concept of vacuum, we restrict the range of feasible commutation relations further, ultimately arriving at the standard bilinear commutation relations as the sole known option that meets all the requirements and does not conflict with available data.",8.0,0.26519337016574585,0.9083171243102894,0.9989826679229736
"In this paper we present an algorithm for computing Hecke eigensystems of Hilbert-Siegel cusp forms over real quadratic fields of narrow class number one. We give some illustrative examples using the quadratic field $\\Q(\\sqrt{5})$. In those examples, we identify Hilbert-Siegel eigenforms that are possible lifts from Hilbert eigenforms.","This paper proposes a method for determining the Hecke eigenvalues and their corresponding eigenvectors (Hecke eigensystems) of Hilbert-Siegel cusp forms over real quadratic fields with narrow class number one. The authors provide demonstrations of the algorithm's application by utilizing the quadratic field Q(√5), in which they pinpoint specific Hilbert-Siegel eigenforms that can be lifted from Hilbert eigenforms.",8.0,0.3013698630136986,0.9083171243102894,0.9994337558746338
"The density dependence of the symmetry energy in the equation of state of isospin asymmetric nuclear matter is of significant importance for studying the structure of systems as diverse as the neutron-rich nuclei and the neutron stars. A number of reactions using the dynamical and the statistical models of multifragmentation, and the experimental isoscaling observable, is studied to extract information on the density dependence of the symmetry energy. It is observed that the dynamical and the statistical model calculations give consistent results assuming the sequential decay effect in dynamical model to be small. A comparison with several other independent studies is also made to obtain important constraint on the form of the density dependence of the symmetry energy. The comparison rules out an extremely \","The density dependence of the symmetry energy in the equation of state of isospin asymmetric nuclear matter is crucial for understanding the structure of various systems, including neutron-rich nuclei and neutron stars. Researchers have employed multiple approaches, such as dynamic and statistical models of multifragmentation, along with experimental observations of isoscaling, to extract information about the density dependence of the symmetry energy. These studies have shown that the dynamic and statistical model calculations are consistent when assuming a minor sequential decay effect in the dynamic model. Additionally, comparisons with other independent investigations have provided valuable constraints on the form of the density dependence of the symmetry energy. Notably, these findings exclude the possibility of an extremely... (insert extreme value or behavior)",0.0,0.39655172413793105,0.9083171243102894,0.9996259808540344
"The Dark Energy problem is forcing us to re-examine our models and our understanding of relativity and space-time. Here a novel idea of Fundamental Forces is introduced. This allows us to perceive the General Theory of Relativity and Einstein's Equation from a new pesrpective. In addition to providing us with an improved understanding of space and time, it will be shown how it leads to a resolution of the Dark Energy problem.","The enigma of dark energy compels us to reassess our comprehension of relativity and spacetime, as well as our theoretical frameworks. A groundbreaking concept of Fundamental Forces is put forth in this context. By embracing this innovative perspective, we gain fresh insights into both the General Theory of Relativity and Einstein's Equation. Aside from offering a deeper understanding of space and time, it becomes evident that this approach holds the key to resolving the puzzle of dark energy.",8.0,0.22580645161290325,0.9083171243102894,0.9989910125732422
"There has been important experimental progress in the sector of heavy baryons in the past several years. We study the strong decays of the S-wave, P-wave, D-wave and radially excited charmed baryons using the $^3P_0$ model. After comparing the calculated decay pattern and total width with the available data, we discuss the possible internal structure and quantum numbers of those charmed baryons observed recently.","Significant strides have been made in the field of heavy baryons in recent years, specifically regarding the study of their strong decays. Our research focuses on the S-wave, P-wave, D-wave, and radially excited charmed baryons, employing the $^3P_0$ model to examine their decay patterns and total widths. By comparing our calculations with existing data, we aim to gain insights into the internal composition and quantum numbers of these newly discovered charmed baryons.",7.0,0.2823529411764706,0.9083171243102894,0.9995125532150269
"In this expository article we review recent advances in our understanding of the combinatorial and algebraic structure of perturbation theory in terms of Feynman graphs, and Dyson-Schwinger equations. Starting from Lie and Hopf algebras of Feynman graphs, perturbative renormalization is rephrased algebraically. The Hochschild cohomology of these Hopf algebras leads the way to Slavnov-Taylor identities and Dyson-Schwinger equations. We discuss recent progress in solving simple Dyson-Schwinger equations in the high energy sector using the algebraic machinery. Finally there is a short account on a relation to algebraic geometry and number theory: understanding Feynman integrals as periods of mixed (Tate) motives.","Recent developments in the field of perturbation theory have led to a deeper comprehension of its combinatorial and algebraic framework, which is illuminated by Feynman diagrams and Dyson-Schwinger equations. By employing Lie and Hopf algebras associated with Feynman diagrams, researchers have been able to recast perturbative renormalization in an algebraic light. This novel perspective paves the way for deriving Slavnov-Taylor identities and Dyson-Schwinger equations through the study of Hochschild cohomology. Notably, significant strides have been made in resolving straightforward Dyson-Schwinger equations within the high-energy domain utilizing sophisticated algebraic tools. Additionally, intriguing connections between algebraic geometry and number theory have emerged, allowing us to regard Feynman integrals as periods of hybrid (Tate) motives, thereby offering fresh insights into their nature.",7.0,0.2272727272727273,0.9083171243102894,0.9996148347854614
"We get asymptotics for the volume of large balls in an arbitrary locally compact group G with polynomial growth. This is done via a study of the geometry of G and a generalization of P. Pansu's thesis. In particular, we show that any such G is weakly commensurable to some simply connected solvable Lie group S, the Lie shadow of G. We also show that large balls in G have an asymptotic shape, i.e. after a suitable renormalization, they converge to a limiting compact set which can be interpreted geometrically. We then discuss the speed of convergence, treat some examples and give an application to ergodic theory. We also answer a question of Burago about left invariant metrics and recover some results of Stoll on the irrationality of growth series of nilpotent groups.","In this paper, we investigate the volume of large balls in a locally compact group G with polynomial growth, using techniques from geometric analysis and a generalization of Pansu's thesis. Our main result shows that any such group G is weakly commensurable to a simply connected solvable Lie group S, which we refer to as the Lie shadow of G. Additionally, we demonstrate that large balls in G have a well-defined asymptotic shape, meaning that after appropriate normalization, they converge to a compact set with a clear geometric interpretation. We further analyze the rate at which these shapes converge and provide examples to illustrate our findings. Finally, we address a question posed by Burago regarding left-invariant metrics and retrieve previously established results on the irrationality of growth series of nilpotent groups.",7.0,0.3955223880597015,0.9083171243102894,0.9996106624603271
